Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks,YEAR
09-JAN-2020,JSL,Jindal Stainless Limited,IDBI BANK LIMITED,SELL,"31,96,930",38.65,,2020
09-JAN-2020,JSL,Jindal Stainless Limited,KOTAK SPECIAL SITUATIONS FUND,BUY,"2,17,15,767",38.65,,2020
09-JAN-2020,JSL,Jindal Stainless Limited,PUNJAB NATIONAL BANK,SELL,"40,29,936",38.65,,2020
09-JAN-2020,JSL,Jindal Stainless Limited,STATE BANK OF INDIA,SELL,"30,00,000",38.65,,2020
09-JAN-2020,JSL,Jindal Stainless Limited,STATE BANK OF INDIA,SELL,"74,58,965",38.65,,2020
04-FEB-2020,MOTILALOFS,Motilal Oswal Financial S,MOTILAL OSWAL,SELL,"2,27,783",773.00,,2020
04-FEB-2020,MOTILALOFS,Motilal Oswal Financial S,PASSIONATE INVESTMENT MANAGEMENT PRIVATE LIMITED,BUY,"8,54,273",773.00,,2020
04-FEB-2020,MOTILALOFS,Motilal Oswal Financial S,RAAMDEO AGRAWAL,SELL,"6,26,490",773.00,,2020
11-FEB-2020,TRIDENT,Trident Limited,MADHURAJ FOUNDATION,SELL,"4,50,00,000",5.95,,2020
11-FEB-2020,TRIDENT,Trident Limited,TRIDENT GROUP LIMITED,BUY,"4,50,00,000",5.95,,2020
18-FEB-2020,MANAPPURAM,Manappuram Finance Ltd,SOCIETE GENERALE,BUY,"15,31,578",169.50,,2020
18-FEB-2020,MANAPPURAM,Manappuram Finance Ltd,SOCIETE GENERALE,SELL,"15,31,578",169.50,,2020
24-FEB-2020,TAKE,Take Solutions Limited,ENVESTOR VENTURES LIMITED,BUY,"73,00,000",100.50,,2020
24-FEB-2020,TAKE,Take Solutions Limited,TAKE SOLUTIONS PTE LTD,SELL,"73,00,000",100.50,,2020
24-FEB-2020,TRIDENT,Trident Limited,MADHURAJ FOUNDATION,SELL,"2,00,00,000",6.15,,2020
24-FEB-2020,TRIDENT,Trident Limited,TRIDENT INDUSTRIAL CORP LIMITED,BUY,"2,00,00,000",6.15,,2020
27-FEB-2020,JAICORPLTD,Jai Corp Limited,MORGAN STANLEY MAURITIUS COMPANY LTD,SELL,"70,56,780",94.10,,2020
27-FEB-2020,JAICORPLTD,Jai Corp Limited,VALIANT MAURITIUS PARTNERS LIMITED,BUY,"25,42,500",94.10,,2020
27-FEB-2020,JAICORPLTD,Jai Corp Limited,VALIANT MAURITIUS PARTNERS OFFSHORE LIMITED,BUY,"45,14,280",94.10,,2020
27-FEB-2020,TITAN,Titan Company Limited,MORGAN STANLEY FRANCE SAS,SELL,"10,00,000","1,255.10",,2020
27-FEB-2020,TITAN,Titan Company Limited,VALIANT MAURITIUS PARTNERS LIMITED,BUY,"3,36,500","1,255.10",,2020
27-FEB-2020,TITAN,Titan Company Limited,VALIANT MAURITIUS PARTNERS OFFSHORE LIMITED,BUY,"6,63,500","1,255.10",,2020
28-FEB-2020,AGCNET,AGC Networks Limited,CITOC VENTURES PRIVATE LIMITED,BUY,"2,65,000",422.00,,2020
